oil block number,licensee,status,oil field name,developed/undeveloped,type,estimated Longitude,estimated Latitude
OPL 301,,Onshore licensed,,,,3.05,6.45
OPL 302,Alfred James,Onshore licensed,,,,3.4,6.42
OPL 303,,Onshore open,,,,3.72,6.8
OPL 304,,Onshore open,,,,4.0,6.8
OPL 305,,Onshore open,,,,4.28,6.8
OPL 306,,Onshore open,,,,4.55,6.8
OPL 307,,Onshore open,,,,4.78,6.8
OPL 308,,Onshore open,,,,3.92,6.55
OPL 474,,Onshore open,,,,4.9,6.75
OPL 201,,Onshore licensed,,,,5.9,6.6
OPL 202,,Onshore licensed,,,,5.55,6.45
OPL 203,,Onshore licensed,,,,5.8,6.42
OPL 204,,Onshore licensed,,,,5.75,5.88
OPL 205,Summit Oil,Onshore licensed,,,,6.38,5.9
OPL 206,,Onshore open,,,,6.1,6.5
OPL 901,,Onshore open,,,,6.65,6.65
OPL 902,,Onshore open,,,,6.95,6.65
OPL 903,,Onshore open,,,,7.48,6.42
OPL 904,,Onshore open,,,,7.9,6.42
OPL 905,,Onshore open,,,,8.25,6.62
OPL 906,,Onshore open,,,,7.78,6.2
OPL 907,,Onshore open,,,,8.42,6.42
OPL 908,,Onshore open,,,,8.05,6.12
OPL 909,,Onshore open,,,,8.45,6.12
OPL 910,,Onshore open,,,,8.03,5.85
OPL 911,,Onshore open,,,,8.28,5.85
OPL 912,,Onshore open,,,,8.58,5.85
OPL 913,,Onshore open,,,,8.35,5.55
OPL 914,,Onshore open,,,,7.95,5.6
OPL 915,,Onshore open,,,,6.42,6.3
OPL 916,,Onshore licensed,,,,7.15,6.45
OPL 917,,Onshore licensed,,,,7.18,6.18
OPL 228,,Onshore open,,,,7.4,5.85
OPL 135,,Onshore open,,,,6.78,5.78
OPL 275,,Onshore open,,,,6.05,5.62
OPL 235,,Onshore open,,,,7.35,5.15
OPL 236,,Onshore open,,,,7.8,5.0
OPL 234,,Onshore open,,,,6.9,5.05
OPL 208,,Offshore licensed,,,,7.08,5.18
OPL 231,,Onshore open,,,,8.12,5.0
OPL 452,,Offshore licensed,,,,8.38,5.0
OPL 276,,Offshore licensed,,,,8.12,4.9
OPL 283,,Onshore licensed,,,,5.9,5.35
OPL 277,,Onshore licensed,,,,6.88,5.28
OPL 290,,Offshore licensed,,,,7.25,4.62
OPL 289,,Offshore licensed,,,,7.0,4.42
OPL 467,,Offshore licensed,,,,6.88,4.38
OPL 471,,Offshore licensed,,,,6.1,4.42
OPL 274,,Returned to NNPC,POLOGBENE,developed,Oil or Oil/Gas,5.82,5.52
OPL 282,,Onshore licensed,,,,5.8,5.02
OPL 312,,Offshore open,,,,2.82,5.22
OPL 317,,Offshore open,,,,2.72,5.02
OPL 313,,Offshore open,,,,3.55,5.12
OPL 314,,Offshore open,,,,3.88,5.12
OPL 315,,Offshore open,,,,4.22,5.05
OPL 319,,Offshore open,,,,3.55,4.92
OPL 321,,Offshore open,,,,3.88,4.92
OPL 323,,Offshore open,,,,4.22,4.92
OPL 325,,Offshore open,,,,3.72,4.72
OPL 327,,Offshore open,,,,3.58,4.6
OPL 241,,Offshore licensed,,,,4.18,5.38
OPL 332,,Offshore licensed,,,,3.88,5.25
OPL 454,,Offshore licensed,,,,4.38,5.55
OPL 328,,Offshore open,,,,3.12,4.42
OPL 329,,Offshore open,,,,3.12,4.22
OPL 330,,Offshore open,,,,3.25,4.05
OPL 331,,Offshore open,,,,3.55,4.05
OPL 333,,Offshore open,,,,3.22,3.78
OPL 334,,Offshore open,,,,3.58,3.78
OPL 335,,Offshore open,,,,3.22,3.52
OPL 336,,Offshore open,,,,3.58,3.52
OPL 337,,Offshore open,,,,3.72,3.28
OPL 338,,Offshore open,,,,4.05,3.28
OPL 339,,Offshore open,,,,4.38,3.28
OPL 340,,Offshore open,,,,4.72,3.28
OPL 341,,Offshore open,,,,3.52,3.05
OPL 342,,Offshore open,,,,3.88,3.05
OPL 343,,Offshore open,,,,4.22,3.05
OPL 344,,Offshore open,,,,4.55,3.05
OPL 345,,Offshore open,,,,4.22,2.78
OPL 346,,Offshore open,,,,4.58,2.78
OPL 253,,Offshore open,,,,4.9,3.05
OPL 254,,Offshore open,,,,3.92,2.78
OPL 255,,Offshore open,,,,4.22,2.55
OPL 261,,Offshore open,,,,4.88,2.78
OPL 262,,Offshore open,,,,3.85,2.55
OPL 264,,Offshore open,,,,4.22,2.52
OPL 265,,Offshore open,,,,4.55,2.52
OPL 266,,Offshore open,,,,4.9,2.52
OPL 267,,Offshore open,,,,5.22,2.52
OPL 268,,Offshore open,,,,3.52,2.35
OPL 269,,Offshore open,,,,3.85,2.35
OPL 270,,Offshore open,,,,4.22,2.35
OPL 271,,Offshore open,,,,4.55,2.35
OPL 272,,Offshore open,,,,4.88,2.35
OPL 273,,Offshore open,,,,5.22,2.35
OPL 259,,Offshore open,,,,5.55,2.38
OPL 251,,Offshore open,,,,4.75,3.28
OPL 252,,Offshore open,,,,4.12,3.28
OPL 243,,Offshore open,,,,4.45,2.75
OPL 258,,Offshore open,,,,7.15,2.72
OPL 257,,Offshore open,,,,5.82,2.72
OPL 310,,Offshore licensed,,,,3.42,5.42
OPL 311,Sunlink,Offshore licensed,,,,3.72,5.45
OPL 318,ConocoPhillips,Offshore licensed,,,,4.22,4.68
OPL 320,Oranto,Offshore licensed,,,,3.72,4.42
OPL 322,Shell,Offshore licensed,,,,3.72,4.05
OPL 324,Petrobras,Offshore licensed,,,,4.22,3.75
OPL 326,,Offshore licensed,,,,4.72,3.52
OPL 248,Zebra Oil & Gas,Offshore licensed,,,,4.72,4.42
OPL 249,Nigeria Oil & Gas,Offshore licensed,,,,4.72,3.75
OPL 250,Chevron,Offshore licensed,,,,4.72,3.52
OML 113,Yinka Folawiyo,Offshore licensed,Ukpokiri,undeveloped,Oil or Oil/Gas,3.52,5.48
OML 125,Eni,Offshore licensed,,,,3.92,4.98
OPL 209,ExxonMobil,Offshore licensed,ERHA,developed,Oil or Oil/Gas,4.38,4.82
OPL 209,ExxonMobil,Offshore licensed,Bosi,undeveloped,Oil or Oil/Gas,4.3,4.78
OML 118,Shell,Offshore licensed,BONGA,developed,Oil or Oil/Gas,4.88,4.32
OML 118,Shell,Offshore licensed,Bonga NW,undeveloped,Oil or Oil/Gas,4.78,4.42
OML 118,Shell,Offshore licensed,Bonga SW,undeveloped,Oil or Oil/Gas,4.82,4.22
OML 116,Shell,Offshore licensed,Anyala,undeveloped,Oil or Oil/Gas,5.12,4.52
OML 116,Shell,Offshore licensed,Madu,undeveloped,Oil or Oil/Gas,5.15,4.48
OPL 213,Chevron,Offshore licensed,Aparo,undeveloped,Oil or Oil/Gas,4.92,4.05
OPL 214,ExxonMobil,Offshore licensed,Boi,undeveloped,Oil or Oil/Gas,5.42,3.82
OPL 215,Noreast Petroleum,Offshore licensed,,,,5.52,3.72
OML 122,Peak,Offshore licensed,Bilati,undeveloped,Oil or Oil/Gas,5.05,4.22
OML 122,Peak,Offshore licensed,Orabiri,undeveloped,Oil or Oil/Gas,5.1,4.18
OML 88,Chevron,Offshore licensed,PENNINGTON,developed,Gas or Gas/Condensate,5.2,4.38
OML 88,Chevron,Offshore licensed,MIDDLETON,developed,Gas or Gas/Condensate,5.25,4.35
OML 88,Chevron,Offshore licensed,Nkele,undeveloped,Oil or Oil/Gas,5.28,4.4
OML 88,Chevron,Offshore licensed,Chioni,undeveloped,Oil or Oil/Gas,5.22,4.32
OML 88,Chevron,Offshore licensed,ERIBI,developed,Gas or Gas/Condensate,5.18,4.35
